,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
XC217729,-416.42557,75.27844,-38.989594,-23.27338,-31.080132,-19.83001,-17.7328,-15.903175,-19.956575,-12.602277,-15.276465,-8.175038,-12.807099,-5.2541904,-10.1568575,-4.212526,-6.488507,0.662792,-5.49643,-0.5153384
XC217736,-439.45795,80.31907,-39.113358,-30.773338,-26.485992,-17.498327,-12.528228,0.8964554,-4.6724687,4.9041724,-3.6622286,-1.1745218,-2.6521218,-2.154358,-6.93736,-2.2361228,-3.2733474,1.0608397,-2.3219838,1.6380976
XC206686,-455.67203,110.8643,-40.30424,38.294952,9.152647,5.6331224,-16.882898,-9.348713,-12.502343,-6.313877,-5.461509,-9.633021,2.136566,-3.045882,-2.5941062,1.5232992,-2.3561342,-3.0405397,-1.1832944,4.1839685
XC125254,-399.09988,84.74506,-7.7286477,47.65538,37.19049,18.946362,7.750222,11.456282,4.29837,11.068488,-0.37682852,2.8945282,2.5301456,6.598976,-0.69299793,4.472731,3.2649412,4.1724358,-1.9301862,4.5994487
XC217727,-468.74097,19.478743,-51.60915,-44.780346,-33.285908,-14.422513,-15.532498,0.27314067,-13.457415,-1.6339023,-11.918249,-7.888782,-16.300358,-6.039567,-14.649214,-6.1828375,-9.245019,-3.3339658,-8.651571,-0.73417485
XC217712,-397.1923,93.118286,-64.04459,-27.335863,-19.949856,-2.7115278,-11.838691,-8.549661,-11.485191,-5.110154,-7.9635797,1.3695475,-1.483907,3.0714328,-5.143641,1.6373976,-1.274428,3.0371032,-3.386641,-1.0699275
XC217734,-367.02835,62.371,-25.142612,-21.384644,-22.875063,-18.758587,-17.745832,-9.704669,-8.883655,-2.1168227,-4.7624583,-0.037162725,-4.0365233,1.2809465,-5.6222887,-1.2750661,-7.568319,-3.552871,-8.69482,-3.976289
XC448826,-277.71686,35.204033,-36.375126,-1.3983554,3.6697586,-9.132378,-7.049885,3.3284721,-2.5967662,5.805714,-1.5038025,0.24031259,-0.3138048,2.0946672,-4.608422,0.58755976,-3.9023695,0.2763269,-1.7496718,2.6830354
XC451184,-373.64157,15.24102,-22.431738,-12.169399,3.8621426,-1.8681848,-6.533278,1.072953,-2.389893,0.10514722,-4.751163,0.5712052,-2.690974,1.040418,-4.300313,1.4190979,-2.6481655,2.2081008,-3.236686,0.7845213
XC451186,-353.61655,54.263298,-22.515491,-11.040815,-6.450964,-9.451713,-10.655768,2.4662886,-4.908169,6.147438,-2.7110565,0.810081,-0.29797637,0.6227365,-4.940349,2.7149074,-2.0915108,0.7752678,-3.427951,1.5297819
XC217719,-395.00943,30.881945,-44.511936,18.75697,-34.21332,-3.6023235,-4.642419,-7.5676565,-5.1294413,2.5737827,-4.480413,-0.06205744,-3.0100152,-0.45865175,-6.3987775,-2.2100499,-5.1057334,-2.1188407,-5.5579233,1.0340701
XC191753,-544.4422,64.84951,14.2230015,3.5411947,-9.3236475,-7.6810417,-12.666163,-3.4603322,-10.017197,-5.1918807,-12.002742,-6.9295764,-10.563989,-3.7467685,-9.934436,-4.751735,-9.3705845,-3.2705,-9.45678,-4.124789
XC356757,-362.3874,49.83749,0.816409,11.167843,6.742574,-7.5249805,-6.4150705,-2.734618,-7.7474775,-0.034757446,-4.6032853,-2.5196862,-5.0755844,0.9040257,-3.9057894,0.008509949,-3.6645553,1.3184812,-3.1041293,1.549446
XC451200,-291.013,58.99641,-36.49296,10.141352,11.953102,-3.6705806,-8.349386,1.3374714,-4.1454077,1.3819634,-2.0468936,-0.28626984,-0.49382254,0.821235,0.5974094,4.375594,-1.5663515,1.6964462,-5.503376,3.1595263
XC451182,-302.4419,20.23976,-33.126617,-4.6208496,-15.551291,1.7713325,-4.593552,-1.9181472,0.6824571,9.172023,-2.3075655,0.644147,-8.9653,-0.30441493,-3.6235566,4.4045005,-4.200464,3.5693374,-1.5788141,4.3985357
XC332645,-448.9872,24.844563,-23.70744,18.057383,-3.8972073,5.263635,-4.633568,6.8029733,-1.461736,3.9635594,-0.22996357,0.1999786,-2.2253675,1.9230856,-0.8352966,5.4412346,-3.5475621,0.70150083,-5.8799205,4.431069
XC408301,-229.10582,41.79869,-66.01107,-14.995115,-40.666477,-13.592359,-24.13765,-8.8230095,-18.816622,-0.14448099,-8.518493,1.135474,-4.551447,4.022816,-6.3260083,4.1744494,-1.9287164,4.1375012,-1.5740147,5.8941097
XC217737,-431.53006,55.48674,-103.47441,-25.6498,-33.100246,-26.363148,-22.993292,-8.4867115,-6.230449,-5.7510424,1.0114437,-0.05617072,-3.8618615,0.12598132,-7.7251706,1.0560266,-6.2226896,-0.3373933,-6.9425583,-1.1940207
XC217730,-440.10916,39.707943,-41.546707,-18.69527,-21.116673,-12.891728,-13.606408,-13.298081,-11.524395,-5.1157894,-12.123176,-6.971226,-12.099257,-7.985703,-11.598538,-4.0655766,-7.72185,-1.2646397,-4.8604503,-3.7917063
XC225551,-428.61813,28.425383,-43.538975,32.832005,16.569801,17.545256,8.669207,14.55361,10.1572,11.746151,4.7643657,7.311752,3.58003,8.287553,0.36859605,9.086065,1.4071332,7.565966,2.818962,8.742754
XC217717,-428.40854,-4.420348,-73.44335,0.17201082,-44.42822,-7.8913803,-4.7291646,-5.9036593,-6.310771,0.07960435,-13.757319,-8.543417,-8.353172,-8.207245,-9.489955,-0.3373763,-5.7181826,0.7386911,-4.5754795,-2.5932932
XC217728,-381.1096,62.49716,-28.666113,-17.936556,-20.479544,-14.776776,-21.14716,-9.551465,-21.02431,-6.083929,-15.741534,-5.2075505,-10.028072,-4.0148177,-10.51267,-2.0255315,-8.895468,-3.497656,-7.7140136,-2.4152164
XC376286,-392.76086,101.359535,-20.476025,18.419039,-0.16013733,-6.236346,-9.887124,-2.6632986,-19.646376,-12.835762,-18.632992,-14.381694,-17.491566,-13.468272,-16.113703,-8.570494,-15.542184,-10.896377,-15.617575,-11.243307
XC187296,-402.7796,42.269657,-43.63167,5.6692467,-34.958466,-23.256151,-22.928146,-13.677259,-12.410317,-13.301492,-11.403497,-8.142969,-17.649227,-10.697606,-16.143005,-6.4362636,-8.579259,-6.206446,-7.41657,-0.1404837
