cstft_0,cstft_1,cstft_2,cstft_3,cstft_4,cstft_5,cstft_6,cstft_7,cstft_8,cstft_9,cstft_10,cstft_11
1.0,0.14755757,0.09466956,0.11489194,0.09939857,0.085990295,0.0775426,0.09654816,0.11742733,0.11849617,0.16400126,0.6553996
0.84998995,0.19863524,0.20721367,0.17268333,0.15248516,0.15064251,0.1334143,0.16061656,0.20047006,0.23498116,0.3358552,1.0
1.0,0.25092673,0.17445263,0.14607354,0.11656629,0.12755248,0.12928544,0.14576231,0.2368786,0.3384726,0.51012826,0.9653132
0.5700579,1.0,0.17017914,0.0033728417,0.0023619782,0.0030033714,0.0025113916,0.003931903,0.013424599,0.033655547,0.06986372,0.22192252
0.39475346,1.0,0.2006582,0.0019670294,0.00043357984,0.00052892865,0.00034052078,0.00053437176,0.0020665317,0.005719043,0.019302016,0.1059096
0.5884251,1.0,0.18448634,0.0020696595,0.00059244165,0.00058625254,0.00055652886,0.0011367862,0.004392266,0.010909037,0.04567194,0.23563835
1.0,0.99829197,0.2121543,0.00872792,0.007411159,0.006978024,0.0073930775,0.015757069,0.040099233,0.08120115,0.19658725,0.6496833
0.4809604,1.0,0.43229914,0.13790275,0.14254458,0.08981248,0.05231436,0.10515137,0.288802,0.5596206,0.6929362,0.49145907
0.2548261,0.035210054,0.03016375,0.013503766,0.015249901,0.007992967,0.0051132343,0.014283698,0.05892197,0.18953347,0.5145169,1.0
0.4162521,0.008400546,0.0033521089,0.0016217596,0.0018689568,0.000994505,0.00076104444,0.0022996059,0.010300935,0.042698506,0.19993748,1.0
0.422171,0.0063458383,0.0006973946,0.00031189935,0.00028172255,0.00024914154,0.00021799761,0.0003296876,0.0030580964,0.025459176,0.18310665,1.0
0.24271475,0.004434557,0.0012899241,0.0007812443,0.00058021286,0.0006096202,0.0006396848,0.00118101,0.015458362,0.12513684,0.46223283,1.0
0.4645848,0.07772364,0.050999247,0.017187808,0.015916653,0.008651427,0.010398412,0.03984478,0.17260972,0.4269263,0.53690827,1.0
0.056943845,0.016426304,0.012567534,0.0041407486,0.0041101505,0.0018428384,0.0025512758,0.0143358195,0.08475498,0.3496633,1.0,0.75646764
0.080934726,0.0015241944,0.001225278,0.00056038745,0.0004943026,0.00025405883,0.0003773654,0.0017639593,0.012363766,0.07868238,0.5239259,1.0
0.087582394,0.0006734141,0.00052410824,0.0003567945,0.0002885244,0.00020660488,0.00024295639,0.00095669326,0.0085384445,0.04104143,0.33236495,1.0
0.074638754,0.0018941608,0.0013799515,0.0010608888,0.0008207551,0.0008595625,0.0012618385,0.008439863,0.057166632,0.1991708,0.5842967,1.0
0.09999289,0.007055637,0.005557526,0.004457714,0.0040570134,0.003937438,0.004208134,0.009391584,0.02158397,0.0537719,0.34281996,1.0
