ccqt_0,ccqt_1,ccqt_2,ccqt_3,ccqt_4,ccqt_5,ccqt_6,ccqt_7,ccqt_8,ccqt_9,ccqt_10,ccqt_11
0.48279685,1.0,0.6695122,0.15837625,0.29516152,0.42932457,0.3455518,0.34386498,0.16347092,0.47097966,0.85978824,0.79328865
0.46472436,1.0,0.671781,0.14557894,0.32304752,0.35212448,0.2653729,0.32675058,0.212421,0.2456711,0.19588037,0.5747872
0.457136,1.0,0.65264326,0.15861592,0.38053158,0.29678723,0.20394942,0.2816128,0.24614382,0.23249091,0.17672464,0.11998207
0.49534628,1.0,0.66855323,0.22931018,0.42504197,0.28819636,0.18610162,0.2682686,0.27796957,0.2978554,0.252149,0.20848209
0.5816739,1.0,0.6705775,0.28580573,0.45576692,0.34970352,0.25923237,0.26248387,0.24656615,0.26191974,0.19721435,0.24549909
0.64576495,1.0,0.7130157,0.42041883,0.51376134,0.43687797,0.2812801,0.24809629,0.1659544,0.21420504,0.17386962,0.13997808
0.22876573,0.32480782,0.23551102,0.15830481,0.16546927,0.17221513,0.13412224,0.12406552,0.19169281,0.56931716,1.0,0.60619026
0.3464781,0.41204348,0.29949024,0.20924515,0.23808672,0.2277702,0.16479628,0.13349517,0.09419714,0.101180635,0.18231307,1.0
0.53918207,0.5675737,0.45150915,0.2700299,0.41380885,0.34053156,0.25481537,0.22349101,0.23408127,0.799347,1.0,0.5223163
1.0,0.92844,0.8351445,0.38716865,0.7864122,0.6104888,0.4056198,0.39729097,0.26790193,0.3414743,0.3216967,0.541639
1.0,0.7290557,0.73349017,0.41706893,0.6769985,0.4774116,0.20509297,0.32402155,0.28370962,0.24075268,0.44035065,0.7170351
1.0,0.6695221,0.77720165,0.50308627,0.63025707,0.4219565,0.107459344,0.31015813,0.3480004,0.25993872,0.28082743,0.44387063
1.0,0.55754054,0.820653,0.63580555,0.6450057,0.45849383,0.25535998,0.34448466,0.4425919,0.33552563,0.35316128,0.38518342
1.0,0.59834886,0.84662,0.67937607,0.54506576,0.40054435,0.33382455,0.23354267,0.40179706,0.4326457,0.4231767,0.3876648
1.0,0.6624378,0.8007502,0.6948512,0.4909604,0.3379267,0.40328464,0.19207355,0.31773797,0.3932971,0.43273452,0.30581313
1.0,0.7852508,0.74856603,0.7318686,0.4636205,0.26393697,0.4068477,0.22557977,0.34909928,0.43289533,0.49533245,0.41310602
1.0,0.8463192,0.67632955,0.67229784,0.3988142,0.2924959,0.3534638,0.30018184,0.3573791,0.41498148,0.4344519,0.24942374
0.6669498,0.54485506,0.35042176,0.40197083,0.24760431,0.18917464,0.21256031,0.17981781,0.21767135,0.46649727,1.0,0.79238266
1.0,0.82441694,0.4044807,0.52026105,0.35926753,0.27964965,0.25227612,0.24871704,0.28051448,0.40342015,0.52623343,0.4554807
1.0,0.8608172,0.2938015,0.44957545,0.3191378,0.29120204,0.30026966,0.24572462,0.22607557,0.2633713,0.2830385,0.2787001
0.98635817,0.7898786,0.26809293,0.36122352,0.2759829,0.213034,0.21639806,0.27224752,0.39019477,0.6149231,0.9333067,1.0
0.1307302,0.10094985,0.039137106,0.0525576,0.039576743,0.022543797,0.03856292,0.04282997,0.043059465,0.0846162,0.2567246,1.0
0.19671668,0.15508382,0.07069007,0.079854615,0.063723005,0.042303625,0.06365025,0.056550793,0.09438165,0.08066619,0.342281,1.0
1.0,0.87513113,0.4830925,0.43300596,0.38955566,0.26044816,0.34177363,0.3470524,0.42642745,0.49274507,0.9359863,0.7294487
0.9922923,1.0,0.5986393,0.5129743,0.49351633,0.24033156,0.4550946,0.41247824,0.2888413,0.39239347,0.7398104,0.6872122
0.79035026,0.9113662,0.75680685,0.75299525,0.7823199,0.62182146,0.6364139,0.5124207,0.39351565,0.46363685,0.5946546,1.0
0.05257808,0.07747423,0.06116784,0.04272743,0.05604182,0.042529263,0.05432078,0.037460305,0.04835854,0.117071055,0.6516388,1.0
0.053073462,0.085634544,0.0742325,0.035157617,0.07651244,0.0651946,0.06218003,0.043799102,0.061687488,0.10116892,0.5950557,1.0
0.26731497,0.41437778,0.5027203,0.3275258,0.60621613,0.48571476,0.377701,0.34400028,0.31515592,0.59305626,0.95717245,1.0
0.38459304,0.3186856,0.5409975,0.49481887,0.7349567,0.5711449,0.33594805,0.38614509,0.38494,0.4517497,0.8232344,1.0
0.6352766,0.35681874,0.6731926,0.8133058,1.0,0.7730748,0.3577353,0.40089357,0.36241904,0.48192212,0.6602989,0.62071157
0.6416861,0.36688873,0.60597926,0.7525319,0.9380477,0.74701744,0.31136918,0.37425056,0.2587126,0.3304038,0.88798046,1.0
0.090613686,0.06685328,0.08733321,0.110232234,0.11718691,0.08894513,0.04013109,0.08526198,0.3429707,1.0,0.85091734,0.1905063
0.1297874,0.10578865,0.118305214,0.13510717,0.1327949,0.10075611,0.06881723,0.08049454,0.13800621,0.33938524,1.0,0.68997806
0.48150778,0.40234193,0.40945575,0.46460497,0.42600057,0.33798894,0.53530985,0.5471822,0.49459803,0.747522,1.0,0.5572399
1.0,0.95794773,0.8847749,0.9114071,0.83941376,0.53696156,0.49833712,0.40336892,0.3985844,0.4905385,0.72715515,0.50443953
0.9109332,1.0,0.8998278,0.7889484,0.6975718,0.39390445,0.35385793,0.39912555,0.3593993,0.35225528,0.41148117,0.38053206
